Arttırılabilir Azami Bellek,Bağlantılar,Bağlantılar (İkincil),Beden,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Ekran Özelliği,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Maksimum İşlemci Hızı (GHz),Okula Dönüş,Optik Sürücü Tipi,Panel Tipi,Power Supply,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel İşlemci Hızı (GHz),Çözünürlük,Çözünürlük Standartı,İşlemci Frekansı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price
,USB,,,2 kg ve Altı,Yok,"15,6 inç",Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,,8 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),,12450H,12. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//msi/thin-gf63-12ucx-427xtr-i5-12450h-8gb-ddr4-rtx2050-gddr6-4gb-512gb-ssd-15-6-fhd-144hz-dos-p-708198686?boutiqueId=61&merchantId=616776,21.899 TL
,,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Dahili,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,,,,,,16 GB,DDR4,Kırmızı,512 GB,,,,1920 x 1080,Full HD (FHD),,12700H,12. Nesil,Intel Core i7,6,Free Dos,,https://www.trendyol.com//asus/tuf-gaming-f15-fx507zc4-hn009-i7-12700h-16gb-ram-512gb-ssd-4gb-rtx3050-15-6-inc-fhd-144hz-p-665171839?boutiqueId=61&merchantId=118442,29.999 TL
16 GB,HDMI,,,2 - 4 kg,,"24"" / 61 Ekran",AMD Radeon RX 550,DDR3,4 GB,Harici,75 Hz,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,1 TB,RGB,Oyun,,,Yok,IPS,500 W ve üstü,16 GB,DDR3,Siyah,240 GB,,LGA 1155,3.2,1920 x 1080,HD Ready (HD),3.00 GHz üstü,İ5-3470,3. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//zeiron/fx60-i5-3470-16gb-1tb-240gb-rx550-23-8-masaustu-oyun-bilgisayari-p-66379094?boutiqueId=61&merchantId=127037,11.249 TL
16 GB,,,Tek Ebat,4 kg ve Üstü,,"24"" / 61 Ekran",Nvidia GeForce GTX 1660 SUPER,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,Yok,RGB,Oyun,,Üniversite,Yok,,500 W ve üstü,16 GB,DDR3,,512 GB,,,,1920 x 1080,,3.00 GHz üstü,İ5-3470,3. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//biggamex/tr43-i5-3470-16gb-ram-512gb-ssd-6gb-gtx-1660-super-23-8-165hz-oyuncu-bilgisayari-p-466891818?boutiqueId=61&merchantId=192618&advertItems=eyJhZHZlcnRJZCI6IjI4YjZlYzg3LThiMGYtNGVmZS1hYTJiLTI2YjMxMThlMjhlNSIsInNvcnRpbmdTY29yZSI6MC4xMTAwMzEyNDI4ODA5NzAyLCJhZFNjb3JlIjowLjA0NTQ1NjM1NzMwMDI4MTUyNSwiYWRTY29yZXMiOnsiMSI6MC4wNDU0NTYzNTczMDAyODE1MjUsIjIiOjAuMDQ1NDU2MzU3MzAwMjgxNTI1fSwiY3BjIjoyLjM4Njk5OTk5OTk5OTk5OSwibWluQ3BjIjowLCJlQ3BjIjoyLjM4Njk5OTk5OTk5OTk5OSwiYWR2ZXJ0U2xvdCI6Niwib3JkZXIiOjIzLCJzZWFyY2hUZXJtIjoiYmlsZ2lzYXlhciIsImF0dHJpYnV0ZXMiOiIifQ==,15.949 TL
,Bluetooth,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.7,,,IPS,,64 GB,DDR4,Gri,1 TB,Gen 4,,,1920 x 1080,Full HD (FHD),,12650H,12. Nesil,Intel Core i7,10,Free Dos,,https://www.trendyol.com//casper/excalibur-g870-1265-efb0x-b-intel-core-i7-12650h-64gb-ram-1tb-nvme-ssd-8gb-rtx4060-freedos-p-672161676?boutiqueId=61&merchantId=114258,37.399 TL
,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Ofis - İş,,,,,,8 GB,LPDDR5,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),,7520U,7. Nesil,AMD Ryzen 5,4,Windows,,https://www.trendyol.com//acer/aspire3-amd-ryzen-5-7520u-8gb-512gb-ssd-15-6-fhd-windows-11-dizustu-bilgisayar-acer-tr-garantili-p-752965828?boutiqueId=61&merchantId=863829,11.499 TL
,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,14 inç,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,512 GB,,Q Türkçe (Aydınlatmasız),Ofis - İş,,,,,,8 GB,LPDDR5,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),,12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//lenovo/ideapad-3-slim-case-intel-core-i5-12450h-8gb-512gb-ssd-freedos-14-inc-83eq000atr-p-780566121?boutiqueId=61&merchantId=118352,13.229 TL
16 GB,HDMI,,Tek Ebat,2 - 4 kg,,"24"" / 61 Ekran",AMD Radeon RX 550,DDR3,4 GB,Harici,75 Hz,,2 Yıl,Resmi Distribütör Garantili,,Var,,1 TB,RGB,Oyun,,Evde Eğitim,Yok,IPS,500 W ve üstü,16 GB,DDR3,Siyah,120 GB,,,3.2,1920 x 1080,Full HD (FHD),3.00 GHz üstü,İ5-3470,3. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//zeiron/star-x50-i5-3470-16gb-120gb-ssd-500gb-hdd-rx550-24-curved-oyuncu-masaustu-bilgisayar-p-114792935?boutiqueId=61&merchantId=127037&advertItems=eyJhZHZlcnRJZCI6IjYxZGZmZTVkLTBmZTAtNGNhNy1hYmRmLTBiNjJmMTEyNDU0YSIsInNvcnRpbmdTY29yZSI6MC4xMDQwODA3NjcxODQ0OTU5NCwiYWRTY29yZSI6MC4wNjMwNzkyNTI4MzkwODg0NCwiYWRTY29yZXMiOnsiMSI6MC4wNjMwNzkyNTI4MzkwODg0NCwiMiI6MC4wNjMwNzkyNTI4MzkwODg0NH0sImNwYyI6MS42NTAwMDAwMDAwMDAwMDAxLCJtaW5DcGMiOjAsImVDcGMiOjEuNjUwMDAwMDAwMDAwMDAwMSwiYWR2ZXJ0U2xvdCI6Nywib3JkZXIiOjMsInNlYXJjaFRlcm0iOiJiaWxnaXNheWFyIiwiYXR0cmlidXRlcyI6IiJ9,11.999 TL
,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Ev - Okul,,,,,,8 GB,LPDDR5,Gri,256 GB,,,,1920 x 1080,Full HD (FHD),,7320U,7. Nesil,AMD Ryzen 3,4,Free Dos,,https://www.trendyol.com//acer/aspire-3-amd-ryzen-3-7320u-8gb-256gb-ssd-dos-15-6-fhd-dizustu-bilgisayar-acer-turkiye-garantili-p-755183026?boutiqueId=61&merchantId=155603,9.399 TL
16 GB,HDMI,,,2 - 4 kg,,"24"" / 61 Ekran",Nvidia GT730,DDR3,4 GB,Harici,75 Hz,,2 Yıl,Resmi Distribütör Garantili,,Var,240 GB,1 TB,RGB,Oyun,,,Yok,IPS,500 W ve üstü,16 GB,,Siyah,240 GB,Gen 4,,3.2,1920 x 1080,Full HD (FHD),3.00 GHz üstü,İ5-3470,3. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//zeiron/rx44-i5-3470-16gb-1tb-hdd-240gb-ssd-gt730-23-8-oyuncu-masaustu-bilgisayari-p-131386035?boutiqueId=61&merchantId=127037,10.949 TL
