Arttırılabilir Azami Bellek,Bağlantılar,Bağlantılar (İkincil),Beden,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Ekran Özelliği,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Maksimum İşlemci Hızı (GHz),Okula Dönüş,Optik Sürücü Tipi,Panel Tipi,Power Supply,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel İşlemci Hızı (GHz),Çözünürlük,Çözünürlük Standartı,İşlemci Frekansı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price
16 GB,HDMI,,Tek Ebat,4 kg ve Üstü,,"24"" / 61 Ekran",AMD Radeon RX 550,GDDR5,4 GB,Harici,75 Hz,,2 Yıl,Zeiron Türkiye Garantili,,Var,,500 GB,RGB,Oyun,,,Yok,TN,500 W ve üstü,16 GB,DDR3,,256 GB,,,3.2,1920 x 1080,Full HD (FHD),3.00 GHz üstü,İ5-3470,3. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//zeiron/fx60-max-i5-3470-16gb-256gb-ssd-500gb-hdd-rx550-23-8-curved-oyuncu-bilgisayari-p-471081237?boutiqueId=61&merchantId=127037&advertItems=eyJhZHZlcnRJZCI6IjYxZGZmZTVkLTBmZTAtNGNhNy1hYmRmLTBiNjJmMTEyNDU0YSIsInNvcnRpbmdTY29yZSI6MC4wNTQ1NTA2MzM5NTIwMjE2LCJhZFNjb3JlIjowLjAzMzA2MDk5MDI3Mzk1MjQ4NCwiYWRTY29yZXMiOnsiMSI6MC4wMzMwNjA5OTAyNzM5NTI0ODQsIjIiOjAuMDMzMDYwOTkwMjczOTUyNDg0fSwiY3BjIjoxLjY1MDAwMDAwMDAwMDAwMDEsIm1pbkNwYyI6MCwiZUNwYyI6MS42NTAwMDAwMDAwMDAwMDAxLCJhZHZlcnRTbG90IjoxMTksIm9yZGVyIjoxOSwic2VhcmNoVGVybSI6ImJpbGdpc2F5YXIiLCJhdHRyaWJ1dGVzIjoiIn0=,12.126 TL
32 GB,Bluetooth - HDMI,,,2 kg ve Altı,Yok,16 inç,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmasız),Ofis - İş,4.2,,,IPS,,8 GB,DDR4,Gümüş,256 GB,,,2.8,1920 x 1200,WUXGA,,5600H,5. Nesil,AMD Ryzen 5,12,Free Dos,4-6 Saat,https://www.trendyol.com//asus/vivobook-m1603qa-mb347-amd-ryzen-5-5600h-8gb-256gb-freedos-16-wuxga-p-736751447?boutiqueId=61&merchantId=717238,16.999 TL
,Bluetooth,,,2 kg ve Altı,Yok,"15,6 inç",Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmasız),Ofis - İş,4.1,,,IPS,,8 GB,DDR4,Gri,500 GB,Gen 3,,3,1920 x 1080,Full HD (FHD),,1115G4,11. Nesil,Intel Core i3,2,Free Dos,,https://www.trendyol.com//casper/nirvana-c500-1115-8v00x-g-f-intel-core-i3-1115g4-8gb-ram-500gb-ssd-gen4-freedos-p-445467357?boutiqueId=61&merchantId=129813,11.899 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//zeiron/px20-i5-650-8gb-120gb-500gb-4gb-18-5-oyun-bilgisayari-p-58823397?boutiqueId=61&merchantId=127037,7.549 TL
16 GB,,,Tek Ebat,2 - 4 kg,,,Nvıdıa GeForce GT 730,DDR3,4 GB,Harici,,,2 Yıl,Resmi Distribütör Garantili,,,,500 GB,,Oyun,,Evde Eğitim,Yok,,350 - 500 W,16 GB,,,256 GB,,,3.2,1920 x 1080,,3.00 GHz üstü,İ5-3470,3. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//biggamex/a53-i5-3470-16gb-ram-256gb-ssd-500gb-hdd-gt730-oyuncu-masaustu-bilgisayari-p-346757949?boutiqueId=626264&merchantId=192618&advertItems=eyJhZHZlcnRJZCI6IjI4YjZlYzg3LThiMGYtNGVmZS1hYTJiLTI2YjMxMThlMjhlNSIsInNvcnRpbmdTY29yZSI6MC4wNTQ1MzA4NzM5NjM5ODE4NSwiYWRTY29yZSI6MC4wMjk3MzgxNjU0MzgxNzUyLCJhZFNjb3JlcyI6eyIxIjowLjAyOTczODE2NTQzODE3NTIsIjIiOjAuMDI5NzM4MTY1NDM4MTc1Mn0sImNwYyI6MS44MzM2OTk5OTk5OTk5OTk0LCJtaW5DcGMiOjAsImVDcGMiOjEuODMzNjk5OTk5OTk5OTk5NCwiYWR2ZXJ0U2xvdCI6MTIwLCJvcmRlciI6MjMsInNlYXJjaFRlcm0iOiJiaWxnaXNheWFyIiwiYXR0cmlidXRlcyI6IiJ9,6.249 TL
,,,,Belirtilmemiş,Yok,16 inç,Belirtilmemiş,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Huawei Türkiye Garantili,,,HDD Yok,,Q Türkçe,Ofis - İş,,,Yok,,,16 GB,Belirtilmemiş,Çok Renkli,512 GB,,,,1920 x 1080,Full HD (FHD),,Belirtilmemiş,Belirtilmemiş,Intel Core i5,Belirtilmemiş,Windows,,https://www.trendyol.com//huawei/matebook-d16-rollef-w5651d-intel-core-i5-12450h-16-gb-ram-512-gb-ssd-tasinabilir-bilgisayar-p-674411459?boutiqueId=61&merchantId=107870,22.999 TL
,HDMI - USB,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.4,,,TN,,8 GB,DDR5,Siyah,256 GB,,,3.3,1920 x 1080,Full HD (FHD),,12450H,12. Nesil,Intel Core i5,8,Windows,6 Saat ve Üstü,https://www.trendyol.com//acer/an515-58-nh-qmzey-005-i5-12450h-8gb-ddr5-256gb-ssd-rtx2050-4gb-15-6-144hz-w11h-p-776123333?boutiqueId=61&merchantId=204934,"22.978,88 TL"
32 GB,HDMI,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,512 GB,RGB Türkçe,Oyun,4.7,,Yok,IPS,,16 GB,DDR4,Siyah,512 GB,,,2.7,1920 x 1080,Full HD (FHD),,11400H,11. Nesil,Intel Core i5,6,Free Dos,4-6 Saat,https://www.trendyol.com//asus/tuf-gaming-f15-fx506he-hn336-intel-i5-11400h-16gb-512gb-ssd-4gb-rtx3050ti-15-6-fhd-144hz-fdos-p-455050715?boutiqueId=61&merchantId=448871,29.500 TL
16 GB,HDMI,,Tek Ebat,4 kg ve Üstü,,"24"" / 61 Ekran",AMD Radeon RX 550,GDDR5,4 GB,Harici,75 Hz,,2 Yıl,Zeiron Türkiye Garantili,,Var,,500 GB,RGB,Oyun,,,Yok,TN,500 W ve üstü,16 GB,DDR3,,256 GB,,,3.2,1920 x 1080,Full HD (FHD),3.00 GHz üstü,İ5-3470,3. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//zeiron/fx60-max-i5-3470-16gb-256gb-ssd-500gb-hdd-rx550-23-8-curved-oyuncu-bilgisayari-p-471081237?boutiqueId=61&merchantId=127037&advertItems=eyJhZHZlcnRJZCI6IjYxZGZmZTVkLTBmZTAtNGNhNy1hYmRmLTBiNjJmMTEyNDU0YSIsInNvcnRpbmdTY29yZSI6MC4wNTQ1NTA2MzM5NTIwMjE2LCJhZFNjb3JlIjowLjAzMzA2MDk5MDI3Mzk1MjQ4NCwiYWRTY29yZXMiOnsiMSI6MC4wMzMwNjA5OTAyNzM5NTI0ODQsIjIiOjAuMDMzMDYwOTkwMjczOTUyNDg0fSwiY3BjIjoxLjY1MDAwMDAwMDAwMDAwMDEsIm1pbkNwYyI6MCwiZUNwYyI6MS42NTAwMDAwMDAwMDAwMDAxLCJhZHZlcnRTbG90IjoxMjEsIm9yZGVyIjozLCJzZWFyY2hUZXJtIjoiYmlsZ2lzYXlhciIsImF0dHJpYnV0ZXMiOiIifQ==,12.126 TL
64 GB,VGA - HDMI - DP - COM,,,4 kg ve Üstü,,25 + inç,AMD Radeon RX 580,GDDR5,8 GB,Harici,90 Hz,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,240,Q Türkçe,Oyun,,,Yok,IPS,500 W ve üstü,32 GB,DDR4,,240 GB,Gen 3,AM4,3.4,1920 x 1080,Full HD (FHD),3.00 GHz üstü,AMD Ryzen 5 1600,Belirtilmemiş,AMD Ryzen 5,12,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//ryzen/gaming-pc-oyuncu-bilgisayari-rgb-masaustu-set-ryzen-5-rx-580-p-780086661?boutiqueId=61&merchantId=881121,"15.344,01 TL"
64 GB,VGA - HDMI - DP - COM,,,4 kg ve Üstü,,25 + inç,AMD Radeon RX 580,GDDR5,8 GB,Harici,90 Hz,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,240,Q Türkçe,Oyun,,,Yok,IPS,500 W ve üstü,32 GB,DDR4,,240 GB,Gen 3,AM4,3.4,1920 x 1080,Full HD (FHD),3.00 GHz üstü,AMD Ryzen 5 1600,Belirtilmemiş,AMD Ryzen 5,12,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//ryzen/gaming-oyuncu-pc-bilgisayar-kasasi-masaustu-set-ryzen-5-rx580-rgb-p-780085661?boutiqueId=61&merchantId=881121,"11.780,01 TL"
,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,5.0,,,IPS,,32 GB,DDR4,Siyah,1 TB,Gen 4,,2.4,2560 x 1600,QHD,,13700H,13. Nesil,Intel Core i7,14,Windows,3 Saat ve Altı,https://www.trendyol.com//monster/tulpar-t6-v1-1-5-intel-core-i7-13700h-32-gb-ram-1-tb-ssd-8-gb-rtx-4070-windows-11-16-qhd-165-hz-p-742790570?boutiqueId=61&merchantId=105286,65.499 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//biggamex/sx51-ryzen-5-3600-32gb-512gb-ssd-rx580-8gb-256bit-23-8-165hz-oyuncu-masaustu-bilgisayar-p-745132640?boutiqueId=61&merchantId=192618&advertItems=eyJhZHZlcnRJZCI6IjUyMTMzOTFlLTFmZjgtNGFkZi1iZjg4LWY5YWEwYzY4NTA5ZiIsInNvcnRpbmdTY29yZSI6MC4wNTQ0NDE1MDIzODQ4NDE0NDYsImFkU2NvcmUiOjAuMDQ2NjkwODI1MzcyOTM0MzQsImFkU2NvcmVzIjp7IjEiOjAuMDQ2NjkwODI1MzcyOTM0MzQsIjIiOjAuMDQ2NjkwODI1MzcyOTM0MzR9LCJjcGMiOjEuMTY2MDAwMDAwMDAwMDAwMSwibWluQ3BjIjowLCJlQ3BjIjoxLjE2NjAwMDAwMDAwMDAwMDEsImFkdmVydFNsb3QiOjEyMiwib3JkZXIiOjcsInNlYXJjaFRlcm0iOiJiaWxnaXNheWFyIiwiYXR0cmlidXRlcyI6IiJ9,17.999 TL
8 GB,USB,Micro USB - Mini HDMI,,2 kg ve Altı,Yok,"15,6 inç",Intel UHD Graphics,GDDR5,Paylaşımlı,Harici,60 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Ev - Okul,1.8,,Çoklu Kopyalama Sistemleri,TN,,8 GB,DDR4,Gümüş,256 GB,,AM5,1.8,1920 x 1080,Full HD (FHD),,N3000,11. Nesil,Intel Core i3,8,Windows,3 Saat ve Altı,https://www.trendyol.com//acer/aspire-3-a315-510-intel-i3-8gb-ram-256ssd-15-6-fhd-ekran-w11h-nx-kdhey-001-gumus-notebook-p-712416588?boutiqueId=61&merchantId=828357,11.499 TL
,,,,2 kg ve Altı,Var,14 inç,Intel HD Graphics,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Dell Türkiye Garantili,,,1 TB,,Q Türkçe,Ev - Okul,,,Yok,,,8 GB,DDR4,Siyah,SSD Yok,,,,1366 x 768,HD Ready (HD),,1115G4,11. Nesil,Intel Core i3,2,Free Dos,,https://www.trendyol.com//dell/vostro-3400-i3-1115g4-8gb-1tb-ubuntu-14-n4001vn3400emea01u-8-p-380455082?boutiqueId=626264&merchantId=109239,"9.899,99 TL"
,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,,,,IPS,,16 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),,11400H,11. Nesil,Intel Core i5,6,Windows,,https://www.trendyol.com//asus/tuf-gaming-f15-fx506hf-hn028w03-i5-11400h-16gb-512ssd-rtx2050-15-6-fullhd-w11h-tasinabilir-bil-p-736061798?boutiqueId=61&merchantId=106664,25.799 TL
8 GB,HDMI,,,2 - 4 kg,,"19"" / 48 Ekran",Intel HD Graphics,DDR3,,Intel HD Graphics 400,,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,Yok,RGB,Ofis - İş,,,Yok,,250 - 350 W,8 GB,DDR3,Siyah,256 GB,,,3.2,1366 x 768,HD Ready (HD),3.00 GHz üstü,650,1. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//biggamex/ma26-i5-650-turbo-3-46ghz-8gb-ram-256gb-ssd-19-masaustu-ofis-bilgisayari-p-345221847?boutiqueId=626264&merchantId=192618&advertItems=eyJhZHZlcnRJZCI6IjI4YjZlYzg3LThiMGYtNGVmZS1hYTJiLTI2YjMxMThlMjhlNSIsInNvcnRpbmdTY29yZSI6MC4wNTQyMTM2OTExNzUzMTY3NywiYWRTY29yZSI6MC4wMjQ3ODE2MDMzNjYxMzY1NSwiYWRTY29yZXMiOnsiMSI6MC4wMjQ3ODE2MDMzNjYxMzY1NSwiMiI6MC4wMjQ3ODE2MDMzNjYxMzY1NX0sImNwYyI6Mi4xODc2NTg3MzkyLCJtaW5DcGMiOjAuMDEsImVDcGMiOjIuMTg3NjU4NzM5MiwiYWR2ZXJ0U2xvdCI6MTIzLCJvcmRlciI6MTEsInNlYXJjaFRlcm0iOiJiaWxnaXNheWFyIiwiYXR0cmlidXRlcyI6IiJ9,5.749 TL
,HDMI - USB,,,2 - 4 kg,Var,"15,6 inç",Dahili Ekran Kartı,Dahili,Paylaşımlı,Harici,Belirtilmemiş,,2 Yıl,Asus Türkiye Garantili,,,256 GB,,Q Türkçe + Numerik (RGB Aydınlatmalı),Ev - Okul,,,,,,8 GB,DDR4,Mavi,256 GB,,,,1920 x 1080,Full HD (FHD),,1215U,Belirtilmemiş,Intel Core i3,6,Free Dos,,https://www.trendyol.com//asus/vivobook-f1502za-ej1531-full-hd-intel-i3-1215u-8-gb-ram-256-gb-ssd-freedos-dizustu-bilgisayar-p-788083214?boutiqueId=61&merchantId=668663,10.599 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//lenovo/ideapad-3-15itl6-intel-core-i3-1115g4-8-gb-256-gb-ssd-15-6-fhd-fdos-82h803nttx-p-782022798?boutiqueId=61&merchantId=110963,9.984 TL
,Bluetooth,,,2 kg ve Altı,Var,16 inç,Intel Iris Graphics,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,1 TB,Q Türkçe,Ofis - İş,+5,,Yok,IPS,,16 GB,LPDDR5,Gümüş,1 TB,,,3.8,2560 x 1600,QHD,,12900H,12. Nesil,Intel Core i9,14,Windows,,https://www.trendyol.com//huawei/matebook-16s-i9-12900h-16gb-1tb-w11h-16-tasinabilir-bilgisayar-cref-x9611t-p-335912096?boutiqueId=61&merchantId=564671,44.999 TL
,,,,,,"24"" / 61 Ekran",AMD Radeon R7 240,DDR3,4 GB,Harici,,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,256 GB,Q Türkçe,Oyun,,,Yok,IPS,250 - 350 W,16 GB,,,256 GB,,,2.8,1920 x 1080,Full HD (FHD),,860,Belirtilmemiş,Intel Core i7,4,Windows,,https://www.trendyol.com//dmc/n90x-gta-5-i7-860-16gb-ram-256gb-ssd-4gb-gt730-24-masaustu-oyuncu-bilgisayari-p-335934187?boutiqueId=626264&merchantId=172251&advertItems=eyJhZHZlcnRJZCI6IjY4NDI5YjNlLWMxMzYtNGMzMi04OGVkLWM5N2JlMjEyYzQzYiIsInNvcnRpbmdTY29yZSI6MC4wNTM5NDY0MDU1NzQ2NzkzNzYsImFkU2NvcmUiOjAuMDcwNzcxNjM0NTc4NzA0ODMsImFkU2NvcmVzIjp7IjEiOjAuMDcwNzcxNjM0NTc4NzA0ODMsIjIiOjAuMDcwNzcxNjM0NTc4NzA0ODN9LCJjcGMiOjAuNzU5LCJtaW5DcGMiOjAsImVDcGMiOjAuNzU5LCJhZHZlcnRTbG90IjoxMjQsIm9yZGVyIjoxNSwic2VhcmNoVGVybSI6ImJpbGdpc2F5YXIiLCJhdHRyaWJ1dGVzIjoiIn0=,8.766 TL
,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,VA,,16 GB,DDR5,Beyaz,512 GB,,,,1920 x 1080,Full HD (FHD),,13900H,13. Nesil,Intel Core i9,14,Free Dos,,https://www.trendyol.com//msi/katana-15-b13vgk-1469xtr-i9-13900h-16gb-ddr5-512gb-ssd-8gb-rtx4070-15-6-144hz-freedos-gaming-o-p-769852767?boutiqueId=61&merchantId=106248,"55.492,62 TL"
,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,4.9,,,IPS,,16 GB,DDR5,Gri,1 TB,,,2.6,1920 x 1200,FHD+,,13650HX,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//asus/rog-strix-g16-g614ji-n3189-intel-i7-13650hx-16gb-1tb-ssd-rtx4070-165hz-dos-16-wuxga-notebook-p-695811288?boutiqueId=61&merchantId=106740,55.499 TL
,Bluetooth,,,2 kg ve Altı,Yok,"15,6 inç",Nvidia GeForce RTX 3050,DDR4,4 GB,Harici,144 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.5,,,IPS,,16 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,QHD,,11400H,11. Nesil,Intel Core i5,6,Windows,,https://www.trendyol.com//acer/nitro5-intel-core-i5-11400h-16gb-512gb-4gb-rtx3050-15-6-fhd-w11pro-gaming-pc-p-767856380?boutiqueId=61&merchantId=448871,25.750 TL
,Bluetooth,,,2 kg ve Altı,Yok,"15,6 inç",Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmasız),Ofis - İş,4.1,,,IPS,,16 GB,DDR4,Gri,1 TB,Gen 4,,3,1920 x 1080,Full HD (FHD),,1115G4,11. Nesil,Intel Core i3,2,Free Dos,,https://www.trendyol.com//casper/nirvana-c500-1115-bf00x-g-f-intel-core-i3-1115g4-16gb-ram-1tb-ssd-gen4-freedos-p-445476720?boutiqueId=61&merchantId=129813&advertItems=eyJhZHZlcnRJZCI6ImJkNzU0NGNlLWY2ZGYtNDVkYi05ODcxLWE2YzFiNDNiNWM0MyIsInNvcnRpbmdTY29yZSI6MC4wNTM4MjQ2OTMyMTA0MjI5OSwiYWRTY29yZSI6MC4wMzI5MTM5NDkzNDA1ODE4OTQsImFkU2NvcmVzIjp7IjEiOjAuMDMyOTEzOTQ5MzQwNTgxODk0LCIyIjowLjAzMjkxMzk0OTM0MDU4MTg5NH0sImNwYyI6MS41MTgsIm1pbkNwYyI6MC4wMSwiZUNwYyI6MS41MTgsImFkdmVydFNsb3QiOjEyNSwib3JkZXIiOjE5LCJzZWFyY2hUZXJtIjoiYmlsZ2lzYXlhciIsImF0dHJpYnV0ZXMiOiIifQ==,12.599 TL
32 GB,HDMI,,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,Yok,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,IPS,,16 GB,DDR5,Siyah,1 TB,,,,1920 x 1200,WUXGA,,13650HX,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//asus/rog-strix-g16-g614ji-n3188-intel-i7-13650hx-16gb-ddr5-1tb-pcie-ssd-8gb-rtx4070-16-165hz-dos-p-692774287?boutiqueId=61&merchantId=105919,55.499 TL
,Bluetooth - HDMI,,,2 - 4 kg,Yok,"15,6 inç",Intel UHD Graphics,Dahili,2 GB,Dahili,60 Hz,,2 Yıl,Asus Türkiye Garantili,,,128 GB,,Q Türkçe (Aydınlatmasız),Ev - Okul,,,,,,4 GB,DDR4,Gümüş,128 GB,,,,1920 x 1080,Full HD (FHD),,1115G4,11. Nesil,Intel Core i3,2,Free Dos,,https://www.trendyol.com//asus/intel-core-i3-1115g4-4gb-128gb-ssd-15-6-inc-full-hd-freedos-laptop-p-732405997?boutiqueId=61&merchantId=114271,9.139 TL
,,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,Belirtilmemiş,,,Resmi Distribütör Garantili,,,Yok,,Q Türkçe,Oyun,+5,,Yok,,,8 GB,DDR4,,512 GB,,,,1920 x 1080,Full HD (FHD),,11800H,11. Nesil,Intel Core i7,Belirtilmemiş,Free Dos,,https://www.trendyol.com//msi/gf63-thin-11uc-616xtr-i7-11800h-8gb-ddr4-rtx3050-gddr6-4gb-512gb-ssd-15-6-fhd-dos-p-237307783?boutiqueId=61&merchantId=314538,33.799 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//biggamex/blade-rtx07-ryzen-5-5500-32gb-ram-512gb-m-2-ssd-rtx3050-23-8-oyuncu-masaustu-bilgisayar-p-786956147?boutiqueId=61&merchantId=192618&advertItems=eyJhZHZlcnRJZCI6IjUyMTMzOTFlLTFmZjgtNGFkZi1iZjg4LWY5YWEwYzY4NTA5ZiIsInNvcnRpbmdTY29yZSI6MC4wNTMzNjAzMDE4NTIyMjYyNiwiYWRTY29yZSI6MC4wNDU3NjM1NTIxODg4NzMyOSwiYWRTY29yZXMiOnsiMSI6MC4wNDU3NjM1NTIxODg4NzMyOSwiMiI6MC4wNDU3NjM1NTIxODg4NzMyOX0sImNwYyI6MS4xNjYwMDAwMDAwMDAwMDAxLCJtaW5DcGMiOjAsImVDcGMiOjEuMTY2MDAwMDAwMDAwMDAwMSwiYWR2ZXJ0U2xvdCI6MTI2LCJvcmRlciI6MjMsInNlYXJjaFRlcm0iOiJiaWxnaXNheWFyIiwiYXR0cmlidXRlcyI6IiJ9,22.149 TL
,Bluetooth - HDMI,,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,TN,,32 GB,DDR5,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),,13900H,13. Nesil,Intel Core i9,24,Windows,,https://www.trendyol.com//msi/katana-17-b13vgk-898tr-i9-13900h-32gb-ddr5-1tb-ssd-8gb-rtx4070-17-3-fhd-144hz-win11-gaming-oy-p-778749913?boutiqueId=61&merchantId=106740,73.679 TL
,Bluetooth - USB,,,2 kg ve Altı,Var,14 inç,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Ofis - İş,4.3,,,IPS,,8 GB,LPDDR4,Gri,512 GB,,,1.8,1920 x 1200,WQXGA,,5700U,5. Nesil,AMD Ryzen 7,8,Windows,,https://www.trendyol.com//lenovo/ideapad-flex-5-ryzen-7-5700u-8gb-ram-512gb-ssd-14-fhd-w11-82r900d0tx-ikisi-bir-arada-laptop-p-737873987?boutiqueId=61&merchantId=653256,26.999 TL
,HDMI - USB,,,2 kg ve Altı,Yok,"15,6 inç",Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Ofis - İş,,,,,,16 GB,DDR4,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),,1235U,12. Nesil,Intel Core i5,10,Windows,,https://www.trendyol.com//lenovo/v15-g3-i5-1235u-16gb-512gb-ssd-w11pro-15-6-fhd-notebook-82tt00a5tx0343-mouse-p-743771641?boutiqueId=61&merchantId=109354,16.970 TL
,,,,,,"24"" / 61 Ekran",AMD Radeon R7 240,DDR3,4 GB,Harici,,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,256 GB,Q Türkçe,Oyun,,,Yok,IPS,250 - 350 W,16 GB,,,256 GB,,,2.8,1920 x 1080,Full HD (FHD),,860,Belirtilmemiş,Intel Core i7,4,Windows,,https://www.trendyol.com//dmc/n90x-gta-5-i7-860-16gb-ram-256gb-ssd-4gb-gt730-24-masaustu-oyuncu-bilgisayari-p-335934187?boutiqueId=626264&merchantId=172251&advertItems=eyJhZHZlcnRJZCI6IjY4NDI5YjNlLWMxMzYtNGMzMi04OGVkLWM5N2JlMjEyYzQzYiIsInNvcnRpbmdTY29yZSI6MC4wNTM5NDY0MDU1NzQ2NzkzNzYsImFkU2NvcmUiOjAuMDcwNzcxNjM0NTc4NzA0ODMsImFkU2NvcmVzIjp7IjEiOjAuMDcwNzcxNjM0NTc4NzA0ODMsIjIiOjAuMDcwNzcxNjM0NTc4NzA0ODN9LCJjcGMiOjAuNzU5LCJtaW5DcGMiOjAsImVDcGMiOjAuNzU5LCJhZHZlcnRTbG90IjoxMjcsIm9yZGVyIjozLCJzZWFyY2hUZXJtIjoiYmlsZ2lzYXlhciIsImF0dHJpYnV0ZXMiOiIifQ==,8.766 TL
