Fiyat,Ekran Kartı,İşlemci,İşlemci Nesli,İşlemci Modeli,Ram,Ekran Boyutu,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Ekran Özelliği,Garanti Süresi,Max İşlemci Hızı,Ram Tipi,SSD Kapasitesi,SSD Teknolojisi,Temel İşlemci Hızı,Çözünürlük,İşlemci Frekansı,İşlemci Çekirdek Sayısı,İşletim Sistemi
13749.0,Nvidia GeForce GTX1050 Ti,Intel Core i5,3. Nesil,İ5-3470,16.0,"24"" / 61 Ekran",GDDR5,4 GB,Harici,144 Hz,,2 Yıl,,,512.0,,3.2,1920 x 1080,3.00 GHz üstü,4,Free Dos
15599.0,Intel UHD Graphics,Intel Core i5,12. Nesil,1235U,8.0,"15,6 inç",Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,4.4,DDR4,512.0,,,1920 x 1080,,10,Windows
17149.0,AMD Radeon RX 580,AMD Ryzen 5,5. Nesil,Ryzen 5 5500,32.0,"24"" / 61 Ekran",GDDR5,8 GB,Harici,75 Hz,,2 Yıl,,DDR4,512.0,Gen 3,3.6,1920 x 1080,3.00 GHz üstü,6,Free Dos
22799.0,Nvidia GeForce RTX 3050,Intel Core i5,11. Nesil,11400H,8.0,"15,6 inç",DDR4,4 GB,Harici,144 Hz,,2 Yıl,,DDR4,512.0,,,1920 x 1080,,6,Free Dos
265000.0,Quadro RTX 4000,Intel Core i9,13. Nesil,13900K,128.0,,Belirtilmemiş,,Harici,,,2 Yıl,,DDR4,8.0,,,,,20,Windows
9358.0,Intel UHD Graphics,Intel Core i3,10. Nesil,1005G1,4.0,"15,6 inç",Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,3.4,DDR4,256.0,,1.2,1920 x 1080,,2,Windows
24490.0,Nvidia GeForce RTX 3050,Intel Core i5,12. Nesil,12450H,16.0,"15,6 inç",GDDR6,4 GB,Harici,144 Hz,,2 Yıl,4.4,DDR4,500.0,,2.5,1920 x 1080,,8,Free Dos
129999.0,AMD Radeon Graphics,AMD Ryzen 5,Belirtilmemiş,5500U,16.0,"15,6 inç",Belirtilmemiş,Paylaşımlı,Dahili,60 Hz,,2 Yıl,,DDR4,512.0,,,1920 x 1080,,6,Free Dos
11700.0,Intel Iris Graphics,Intel Core i5,11. Nesil,1135G7,8.0,"15,6 inç",Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,4.2,DDR4,256.0,,2.4,1920 x 1080,,4,Free Dos
157999.0,Dahili Ekran Kartı,Intel Core i5,12. Nesil,1235U,16.0,"15,6 inç",Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,,DDR4,512.0,,,1920 x 1080,,10,Free Dos
24750.0,Nvidia GeForce RTX 2050,Intel Core i5,11. Nesil,11400H,8.0,"15,6 inç",GDDR6,4 GB,Harici,144 Hz,,2 Yıl,,DDR4,512.0,,,1920 x 1080,,6,Free Dos
14249.0,Nvidia GeForce GTX 1650,Intel Core i5,3. Nesil,İ5-3470,16.0,"24"" / 61 Ekran",GDDR5,4 GB,Harici,75 Hz,,2 Yıl,,,256.0,,3.2,1920 x 1080,3.00 GHz üstü,4,Free Dos
28599.0,Nvidia GeForce RTX 4050,Intel Core i5,13. Nesil,13500H,16.0,"15,6 inç",DDR4,Paylaşımlı,Dahili,144 Hz,,2 Yıl,,DDR4,512.0,,,1920 x 1080,,12,Free Dos
21865.0,Intel HD Graphics,Intel Core i5,12. Nesil,12500H,16.0,16 inç,DDR4,Paylaşımlı,Dahili,300 Hz,,2 Yıl,,DDR4,512.0,,,1920 x 1200,,4,Windows
18499.0,Intel Iris Graphics,Intel Core i5,12. Nesil,1235U,8.0,"14,1 inç",Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,4.4,DDR4,500.0,Gen 4,1.3,1920 x 1080,,10,Free Dos
